geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
34246,2.321816317266483,5.4838741214920175,POINT (4283805.814014472 3138715.612066365),867564.6020585374
34225,0.5831883423271027,7.6743405202311905,POINT (4281551.888828429 3126919.124632894),4728668.424871468
34117,2.702727972099707,0.5490778485019767,POINT (4285613.367118572 3134037.2470382815),4348350.260857443
34130,2.6842554578200577,3.559664784171653,POINT (4282272.69056027 3135001.894522229),973606.7589473899
34119,2.540903266095541,1.8734133231479098,POINT (4283719.286165265 3134082.0100670373),2363465.97260458
34121,3.883756482632429,1.4816034567089325,POINT (4284307.290395996 3132621.0275297556),1708345.0721387037
34127,0.7264168639202105,2.466540782809439,POINT (4284897.08185323 3135891.7176132556),4349846.822589388
34134,3.9236897896588947,3.2636746705884065,POINT (4283774.09056173 3130730.016432119),1182578.6423172632
34132,2.6910158450514836,5.055444894688368,POINT (4281683.363173699 3130184.7614837913),491271.92326045997
34131,4.443907182263307,4.156533363410017,POINT (4281345.502872838 3133369.9107170408),592039.431894634
34128,1.8032359690401953,3.8973919901594773,POINT (4282717.280368717 3136228.7608503923),720604.5404084321
34125,2.9232520939318776,2.7091757928905587,POINT (4287554.401297255 3135266.0885557127),977884.7420129817
34123,1.4361973961434211,3.1086856852116798,POINT (4287702.146802471 3131305.8085430376),3828043.8824037025
