Feature,,Coefficient,,,,,,,
City,Berlin,Paris,"FR, other","DE, other",,,,,
Household income,0.0003,0.0006,0.0009,0.0003,,,,,
Household size,,,,,,,,,
Household max age,0.020,0.015,-0.009,0.007,,,,,
University Education,-0.186,0.281,0.630,,,,,,
HH Type MultiAdult + Kids,,0.258,,,,,,,
HH Type Single Female,-1.159,-0.596,-0.939,,,,,,
HH Type Single Male,-0.730,-0.364,-0.773,,,,,,
HH Type Single Parent,-0.197,-0.378,-0.920,,,,,,
Dist. to center,0.074,0.045,0.044,0.065,,,,,
Dist. to subcenter,,,,,,,,,
Populuation density,-0.0001,0.0000,,-0.0001,,,,,
Built-up density,,,,-0.036,,,,,
Intersection density,,-0.007,-0.007,,,,,,
Avg. street length,0.003,,,,,,,,
Cycle lane share (%),,-0.0002,-0.0002,-0.0001,,,,,
Urban fabric area (%),0.0001,0.0001,0.0004,0.0002,,,,,
Commercial area (%),,,0.0003,0.0001,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
